year,granny smith,golden delicious,braeburn,red delicious
1900,4.17321288637e-10,0.0,9.64965440886e-10,0.0
1901,3.3385703091e-10,0.0,3.22192321711e-09,6.63755272967e-10
1902,2.78214192425e-10,0.0,4.21774959403e-09,5.53129394139e-10
1903,2.38469307793e-10,0.0,8.7831521421e-09,4.74110909262e-10
1904,2.38469307793e-10,0.0,1.03632229465e-08,4.74110909262e-10
1905,2.47487744584e-10,0.0,1.19293921091e-08,4.74110909262e-10
1906,2.47487744584e-10,0.0,1.28834811708e-08,4.74110909262e-10
1907,4.60793451015e-10,0.0,1.32316995138e-08,4.74110909262e-10
1908,4.60793451015e-10,1.31593390153e-09,1.17131621862e-08,2.19322322208e-10
1909,4.60793451015e-10,1.31593390153e-09,1.14947910872e-08,2.19322322208e-10
1910,1.76325838057e-09,1.31593390153e-09,7.2425416775e-09,2.19322322208e-10
1911,1.76325838057e-09,1.31593390153e-09,6.62593123226e-09,2.19322322208e-10
1912,1.7560875135e-09,1.31593390153e-09,8.86029554487e-09,2.19322322208e-10
1913,1.7560875135e-09,1.31593390153e-09,9.61305067295e-09,2.19322322208e-10
1914,1.54278180707e-09,1.31593390153e-09,9.69554397085e-09,2.19322322208e-10
1915,1.54278180707e-09,2.40836493605e-09,1.20011769887e-08,0.0
1916,1.54278180707e-09,3.9464128473e-09,2.46780564396e-08,0.0
1917,2.40316877509e-10,6.75612366052e-09,2.55846540937e-08,1.29678959634e-09
1918,4.87137029128e-10,1.63821098909e-08,2.77439267909e-08,2.28407020282e-09
1919,2.46820151619e-10,2.31886884297e-08,2.58995188629e-08,2.28407020282e-09
1920,2.46820151619e-10,2.52782192638e-08,2.48217524788e-08,2.28407020282e-09
1921,5.28947419198e-09,2.93123422677e-08,2.45481493863e-08,2.62024713038e-09
1922,5.28947419198e-09,3.45558711804e-08,2.33559398805e-08,2.93907603017e-09
1923,5.28947419198e-09,3.48982236125e-08,1.05743723619e-08,3.25247609797e-09
1924,5.28947419198e-09,3.31998445243e-08,1.05073298633e-08,1.95568650163e-09
1925,5.32422369684e-09,2.695269414e-08,8.57148295198e-09,9.68405895157e-10
1926,5.32422369684e-09,2.59895150163e-08,6.92322602422e-09,2.42925574894e-09
1927,7.2992779757e-09,2.55928879042e-08,8.96736960877e-09,2.9935569896e-09
1928,2.25662393533e-09,2.72811378567e-08,1.20633543472e-08,7.1750430359e-09
1929,2.25662393533e-09,3.38589138948e-08,1.10667191284e-08,1.47983557789e-08
1930,2.63734307409e-09,4.49229638885e-08,1.32833571761e-08,1.44849557111e-08
1931,2.63734307409e-09,5.12308971119e-08,1.57875443829e-08,1.65083916061e-08
1932,2.35577341761e-09,7.44199305672e-08,1.64267913875e-08,1.7085953985e-08
1933,2.35577341761e-09,7.23548687948e-08,1.70369658064e-08,1.59157454834e-08
1934,1.19673103173e-09,7.55580364307e-08,1.55098414746e-08,1.72554720354e-08
1935,1.19673103173e-09,7.86585459624e-08,1.34459177126e-08,1.41163844106e-08
1936,1.7333280208e-09,7.19412337956e-08,1.5357087665e-08,7.7840336716e-09
1937,1.35260888204e-09,7.72298665654e-08,1.32793296359e-08,1.87775105306e-08
1938,1.89809266717e-09,9.73575318142e-08,1.18908604867e-08,1.92087516686e-08
1939,4.7088378276e-09,9.77728176516e-08,1.18412001474e-08,2.28473071573e-08
1940,5.40121154151e-09,1.02649151243e-07,1.49346336567e-08,2.3249039519e-08
1941,4.58519964854e-09,1.07295593775e-07,2.38383941793e-08,2.40169155674e-08
1942,4.93721254356e-09,1.11849201805e-07,2.58020441203e-08,3.74228819362e-08
1943,4.4006155545e-09,1.12413268186e-07,2.65792540358e-08,3.89859718159e-08
1944,4.89910353555e-09,1.1237499588e-07,3.25355925693e-08,3.17311549417e-08
1945,4.58796781519e-09,1.40837252368e-07,3.33618095054e-08,3.23230028774e-08
1946,3.73556953624e-09,1.7347488211e-07,3.41040020985e-08,3.15883906651e-08
1947,3.46341380971e-09,1.86881655801e-07,5.85977826262e-08,3.46779788218e-08
1948,3.09509239825e-08,2.01221731531e-07,5.37640405846e-08,3.60616092384e-08
1949,3.05989110875e-08,2.00988559066e-07,5.07749877698e-08,2.58092462164e-08
1950,3.05989110875e-08,2.04829475476e-07,4.96688364723e-08,3.22619102385e-08
1951,3.07556650623e-08,2.01049987452e-07,4.5570680499e-08,3.09258040922e-08
1952,3.15341848189e-08,1.73401098559e-07,4.80506104112e-08,3.78053838076e-08
1953,2.95758379375e-08,1.19003891947e-07,4.80672239154e-08,3.77392948162e-08
1954,3.0284140719e-08,1.15563039614e-07,2.03534325267e-08,3.6402461109e-08
1955,3.731716079e-09,1.04771646914e-07,1.63178838695e-08,3.72093713936e-08
1956,6.13857453757e-09,1.10367440774e-07,1.57834928302e-08,3.71470725132e-08
1957,6.91723332581e-09,1.04212175334e-07,2.07279005706e-08,2.90788453634e-08
1958,9.38758512195e-09,1.33271022281e-07,2.05781696762e-08,3.43482039636e-08
1959,9.03171420192e-09,1.45907332692e-07,1.67486166206e-08,3.96644277106e-08
1960,9.8997352855e-09,1.59408209157e-07,1.59078665478e-08,4.28211710059e-08
1961,9.14853719764e-09,1.60031073234e-07,1.52485618497e-08,5.33307890865e-08
1962,9.44975060107e-09,1.62000244584e-07,1.58387859733e-08,5.59985288933e-08
1963,7.0428921425e-09,1.47091773618e-07,1.71106988023e-08,5.55721032842e-08
1964,6.5647029717e-09,1.48240499899e-07,1.32872442335e-08,6.53324743511e-08
1965,3.99056058039e-09,1.24986214354e-07,2.15457373292e-08,6.40022523233e-08
1966,4.54224229658e-09,8.96610983792e-08,1.95887825722e-08,5.49892672825e-08
1967,5.1351352456e-09,9.75983252073e-08,1.88529248483e-08,5.99218052479e-08
1968,7.84189555355e-09,1.12466694981e-07,2.3235213412e-08,5.66865931179e-08
1969,7.07546472998e-09,1.19114232755e-07,3.09407191059e-08,6.37223201982e-08
1970,9.12480637874e-09,1.41729859269e-07,3.0820504355e-08,6.94376355779e-08
1971,9.87885691504e-09,1.40954447693e-07,3.04898111679e-08,6.46387986628e-08
1972,1.16793482663e-08,1.46801930699e-07,2.09387157295e-08,7.08408035249e-08
1973,1.90050187492e-08,1.52665877519e-07,2.33114280736e-08,7.4083650151e-08
1974,1.95234673587e-08,1.45168026227e-07,2.45303229079e-08,7.03164610506e-08
1975,1.88749671607e-08,1.23594940909e-07,2.20101928588e-08,6.66407805764e-08
1976,2.28573425742e-08,1.18910318647e-07,1.73131963131e-08,5.86222861048e-08
1977,2.34376767121e-08,1.0403462478e-07,2.15189451337e-08,5.79797260282e-08
1978,2.72604701907e-08,1.17836323318e-07,1.94295981209e-08,6.14722018288e-08
1979,3.10819474127e-08,1.22969753063e-07,1.94657094253e-08,6.28604139138e-08
1980,3.00447385304e-08,1.42390247577e-07,1.76368287593e-08,6.43517835606e-08
