year,pumpernickel,white bread,rye bread,tortilla,sourdough
1800,0.0,2.99373983381e-07,9.13499178523e-08,1.07039479502e-08,1.25368337933e-08
1801,0.0,2.65979795699e-07,7.30799342819e-08,8.56315836018e-09,1.00294670347e-08
1802,0.0,2.32861668318e-07,6.08999452349e-08,7.13596530015e-09,8.35788919555e-09
1803,0.0,2.04008330229e-07,5.66125675862e-08,6.11654168584e-09,7.16390502475e-09
1804,0.0,1.66323679147e-07,4.14557642817e-08,6.11654168584e-09,7.16390502475e-09
1805,0.0,1.23148524775e-07,6.42882491369e-08,6.11654168584e-09,0.0
1806,0.0,1.35380816399e-07,6.42882491369e-08,0.0,0.0
1807,0.0,1.13593142004e-07,5.8690381063e-08,0.0,0.0
1808,0.0,1.04898386866e-07,6.63553552422e-08,1.07715578679e-08,0.0
1809,0.0,1.01529145472e-07,6.63553552422e-08,1.07715578679e-08,0.0
1810,0.0,1.09437498302e-07,7.11834667401e-08,1.07715578679e-08,0.0
1811,0.0,1.33685327443e-07,6.42271406852e-08,1.07715578679e-08,0.0
1812,0.0,1.52359376671e-07,4.40328949176e-08,1.07715578679e-08,0.0
1813,0.0,1.41812098572e-07,5.34090696748e-08,1.07715578679e-08,0.0
1814,0.0,1.47776039025e-07,5.47475969321e-08,1.07715578679e-08,0.0
1815,0.0,1.9185410086e-07,4.91710083444e-08,0.0,0.0
1816,0.0,2.01480988591e-07,6.50388020266e-08,0.0,0.0
1817,0.0,2.02270484806e-07,5.57980760009e-08,3.44024288422e-09,0.0
1818,0.0,2.00687034229e-07,6.59583620737e-08,5.58010958075e-09,0.0
1819,0.0,2.07596601496e-07,4.92608376947e-08,7.23292118262e-09,0.0
1820,0.0,2.08119751781e-07,5.339857775e-08,7.23292118262e-09,0.0
1821,0.0,1.94230001479e-07,5.42416336608e-08,8.56551667689e-09,0.0
1822,0.0,1.628260305e-07,6.42736302276e-08,1.4232434025e-08,0.0
1823,0.0,1.70242553768e-07,5.6167275529e-08,1.74998495694e-08,0.0
1824,0.0,1.8081831042e-07,7.59057933968e-08,2.65151264754e-08,0.0
1825,0.0,1.69888620251e-07,7.11449474571e-08,3.1467618733e-08,0.0
1826,0.0,1.65126453209e-07,7.50920057564e-08,3.07942784923e-08,0.0
1827,1.00199854763e-09,1.90165124536e-07,6.53943139639e-08,3.17962770399e-08,1.00199854763e-09
1828,1.00199854763e-09,1.99453456925e-07,6.61373899139e-08,3.26914583658e-08,1.00199854763e-09
1829,1.68857321776e-09,2.05970443241e-07,6.97028964071e-08,2.77111156878e-08,1.00199854763e-09
1830,1.68857321776e-09,2.09446737033e-07,8.36392501924e-08,2.82405750848e-08,1.00199854763e-09
1831,1.68857321776e-09,2.13735250197e-07,7.40733625548e-08,1.57850552946e-08,1.00199854763e-09
1832,4.36849857875e-09,2.14272745325e-07,7.31445040409e-08,8.69269634052e-09,1.67197988787e-09
1833,6.10645794248e-09,2.23871753389e-07,7.77904303512e-08,1.23477831134e-08,1.67197988787e-09
1834,5.10445939485e-09,2.04447922718e-07,8.84054602222e-08,1.21443519368e-08,6.69981340248e-10
1835,6.82494321375e-09,1.99123288017e-07,1.15714036448e-07,1.16370589355e-08,6.69981340248e-10
1836,6.79322737745e-09,1.94000417001e-07,1.08124205208e-07,1.42247783711e-08,6.69981340248e-10
1837,8.12255120307e-09,1.84967486153e-07,9.97221733761e-08,1.04279034296e-08,6.69981340248e-10
1838,8.76137422929e-09,1.70966448617e-07,9.74477189735e-08,1.17055494821e-08,6.69981340248e-10
1839,6.78572816984e-09,1.76964880844e-07,1.12421194132e-07,1.59312252914e-08,0.0
1840,5.65746643184e-09,1.70662366778e-07,1.06818419506e-07,2.22712240396e-08,6.0969762572e-10
1841,6.18089347957e-09,1.69926646468e-07,1.06343744477e-07,3.19411974965e-08,6.0969762572e-10
1842,4.46040966067e-09,1.88521710243e-07,8.30151180813e-08,3.85606856921e-08,6.0969762572e-10
1843,4.72245477644e-09,1.97335418355e-07,8.62433883039e-08,3.71201994856e-08,6.0969762572e-10
1844,4.37007576158e-09,2.03310585383e-07,8.96790481875e-08,4.49357579717e-08,6.0969762572e-10
1845,3.73125273536e-09,2.12903385334e-07,1.00362147545e-07,4.60402556714e-08,6.0969762572e-10
1846,4.02903028401e-09,2.0786583426e-07,9.09191442133e-08,5.13341198121e-08,6.0969762572e-10
1847,4.24296689846e-09,2.19323644452e-07,9.61052271415e-08,4.94195390642e-08,0.0
1848,5.2463221069e-09,2.16874105214e-07,9.37666706185e-08,5.04018654114e-08,0.0
1849,6.03012205249e-09,2.05997439805e-07,9.54279357757e-08,6.24406914745e-08,0.0
1850,5.11321810289e-09,2.09110985289e-07,9.26809460923e-08,6.46112664323e-08,0.0
1851,4.71167156085e-09,2.21289490859e-07,8.66317597976e-08,6.08234958272e-08,0.0
1852,5.02403436314e-09,2.30112744605e-07,7.8748016108e-08,6.12526172006e-08,3.12362802291e-10
1853,4.29758872933e-09,2.32892962312e-07,8.76475516926e-08,6.33087482121e-08,3.12362802291e-10
1854,3.47395448915e-09,2.37921379867e-07,8.20968882717e-08,7.06639628082e-08,3.12362802291e-10
1855,1.94717223298e-09,2.4215467371e-07,8.42181415399e-08,6.2100891794e-08,1.13744743783e-09
1856,1.80893849106e-09,2.3978357839e-07,8.31900542104e-08,5.30195019317e-08,1.46023053966e-09
1857,1.80893849106e-09,2.23542930452e-07,8.47491707288e-08,6.1257674996e-08,1.46023053966e-09
1858,1.79329335508e-09,2.23276716481e-07,9.37349986836e-08,5.89091465132e-08,1.46023053966e-09
1859,2.20426857719e-09,2.22335119458e-07,9.67105770704e-08,6.11612474951e-08,1.14786773737e-09
1860,1.9286573608e-09,2.32779908872e-07,8.46419569354e-08,5.4161796064e-08,3.10910462455e-09
1861,3.58617009104e-09,2.20130142939e-07,8.4773314971e-08,3.98184961828e-08,3.10910462455e-09
1862,3.58617009104e-09,2.16033384959e-07,8.00961044791e-08,3.97932168486e-08,2.28401998901e-09
1863,4.08252130514e-09,2.21061873568e-07,7.52984803398e-08,3.19215610136e-08,1.96123688718e-09
1864,4.91763874066e-09,2.55776949335e-07,7.94289434225e-08,2.55248269505e-08,1.96123688718e-09
