year,espresso,cappuccino,latte
1920,3.44741155345e-08,2.04995440067e-09,1.07222672935e-07
1921,3.05550653001e-08,1.63996352054e-09,1.17023755419e-07
1922,3.17385261591e-08,4.11237390437e-09,1.12425228923e-07
1923,2.7864971711e-08,4.51567296254e-09,1.06272292633e-07
1924,1.31861155487e-08,4.87296847318e-09,1.10483645042e-07
1925,1.73767108004e-08,5.16969000941e-09,1.10856448846e-07
1926,1.92781391485e-08,5.4775586289e-09,1.00477035454e-07
1927,2.45545245723e-08,5.12799111111e-09,9.87803039048e-08
1928,2.43312236708e-08,5.12799111111e-09,8.66073450417e-08
1929,2.13893304021e-08,2.77450170775e-09,9.64652911201e-08
1930,2.83464299969e-08,2.9865027911e-09,1.02193648432e-07
1931,2.96180428437e-08,2.40142147437e-09,9.33902006839e-08
1932,3.12543303301e-08,2.10469993814e-09,8.74033355533e-08
1933,3.3073728042e-08,1.79683131866e-09,9.56156580578e-08
1934,2.8258332658e-08,1.77583065713e-09,1.02327250387e-07
1935,3.70896481781e-08,2.06592704848e-09,1.06686730973e-07
1936,3.54994067792e-08,2.06592704848e-09,9.11132803808e-08
1937,3.07059391881e-08,8.63144920617e-10,8.93154604878e-08
1938,3.11079032375e-08,8.63144920617e-10,9.83773223519e-08
1939,2.85737385499e-08,1.15922373288e-09,1.08771304757e-07
1940,2.58069217742e-08,2.25326275099e-09,1.03551599454e-07
1941,3.41376342115e-08,1.68021422172e-09,1.03765670627e-07
1942,2.48857588822e-08,1.39011783037e-09,1.3222989976e-07
1943,2.92007019517e-08,1.69377740405e-09,1.40352297752e-07
1944,3.47747712213e-08,2.48111071371e-09,1.54595503478e-07
1945,4.62429591762e-08,3.46702511145e-09,2.06383740114e-07
1946,5.34515836671e-08,6.14755065901e-09,2.10292186284e-07
1947,5.93621696878e-08,6.60030855367e-09,2.17990621062e-07
1948,5.7373581473e-08,7.5486932102e-09,2.39547633348e-07
1949,7.1148966401e-08,8.5022604671e-09,2.21371333328e-07
1950,8.43259749964e-08,9.16382311303e-09,2.26216715074e-07
1951,8.90282975912e-08,1.06748310033e-08,2.15832388787e-07
1952,9.8175106806e-08,1.43749991593e-08,1.66840733657e-07
1953,1.08329587998e-07,1.2454761032e-08,1.5653168988e-07
1954,1.27505437034e-07,1.36780941494e-08,1.57116961267e-07
1955,1.55057935349e-07,1.94195886832e-08,1.46360205542e-07
1956,1.99821291386e-07,2.38895542872e-08,1.42357667242e-07
1957,2.25186485046e-07,2.42338276589e-08,1.46718663346e-07
1958,2.69893817549e-07,2.53710966046e-08,1.54415075996e-07
1959,2.8957593853e-07,2.27563869018e-08,1.57454006531e-07
1960,3.1636739333e-07,2.37855946764e-08,1.66010816395e-07
1961,3.25801832592e-07,3.39672414798e-08,1.80916058135e-07
1962,3.31506521852e-07,3.07008915909e-08,1.85007532199e-07
1963,3.06797807952e-07,2.76240236558e-08,1.94053488754e-07
1964,2.97921415125e-07,2.91554846139e-08,1.98284137316e-07
1965,2.84210486669e-07,2.90971024259e-08,2.00294289678e-07
1966,2.82865992122e-07,3.03458385483e-08,2.01840871794e-07
1967,2.71779721395e-07,3.25742845396e-08,2.00162728202e-07
1968,2.74593389043e-07,2.52164990476e-08,1.88927938246e-07
1969,2.73746616676e-07,2.41620439926e-08,1.79312478215e-07
1970,2.74924418786e-07,2.94002792112e-08,1.63518626687e-07
1971,2.82821533558e-07,3.15976641043e-08,1.54648920146e-07
1972,2.89623393141e-07,3.53297839238e-08,1.68870873729e-07
1973,2.97090862831e-07,4.03983050742e-08,1.67159033107e-07
1974,3.03263532382e-07,4.1575538385e-08,1.64441517244e-07
1975,3.25929496281e-07,4.77575289156e-08,1.5495259087e-07
1976,3.49702633613e-07,6.02778124795e-08,1.56264748332e-07
1977,3.81702571899e-07,6.69077061533e-08,1.6022168438e-07
1978,4.19069634994e-07,8.14414447944e-08,1.71768673888e-07
1979,4.55247889291e-07,1.0007738292e-07,1.49913198871e-07
1980,4.93377410165e-07,1.16068951989e-07,1.48169332423e-07
1981,5.7083696557e-07,1.37291881673e-07,1.40025701193e-07
1982,6.05429311256e-07,1.5742343616e-07,1.44983735684e-07
1983,6.42854122823e-07,1.73457665977e-07,1.44578477825e-07
1984,6.93512496954e-07,1.9732028868e-07,1.44260646952e-07
1985,7.510569388e-07,2.24779826117e-07,1.64213989169e-07
1986,7.87484643335e-07,2.43236243813e-07,1.66804580275e-07
1987,8.49986004375e-07,2.74572262292e-07,1.67581369765e-07
1988,9.82653030945e-07,3.17326421425e-07,1.86962974911e-07
1989,1.04356050709e-06,3.56162139622e-07,1.97370707365e-07
1990,1.21992646994e-06,4.17772275028e-07,2.09068064702e-07
1991,1.35799932594e-06,4.93511106616e-07,2.25914603279e-07
1992,1.61475971007e-06,6.08855482888e-07,2.29257154847e-07
1993,1.77397627838e-06,6.99822461251e-07,2.88905662822e-07
1994,1.93998695432e-06,7.95832993601e-07,3.3846121994e-07
1995,1.99418938505e-06,8.84801417276e-07,4.1275392875e-07
1996,2.12928036599e-06,9.69716791437e-07,4.71908955912e-07
1997,2.16197775111e-06,1.03509178562e-06,5.30245364886e-07
1998,2.28300636097e-06,1.07530792017e-06,6.10350984357e-07
1999,2.20729756454e-06,1.08469700625e-06,6.70818485522e-07
2000,2.25441019706e-06,1.10780664159e-06,7.18660314052e-07
2001,2.27269301816e-06,1.11122705368e-06,7.96904228955e-07
2002,2.35344402861e-06,1.13659510457e-06,8.69030637674e-07
2003,2.47873552591e-06,1.15575367391e-06,9.80343468246e-07
2004,2.56125071222e-06,1.15700370637e-06,1.06195685782e-06
2005,2.44281495603e-06,1.11143348309e-06,1.09460461533e-06
2006,2.47814784752e-06,1.09627980375e-06,1.14280125437e-06
2007,2.51200986199e-06,1.09394612027e-06,1.189569827e-06
2008,2.55262322613e-06,1.09592511666e-06,1.22493754806e-06
