year,surf and turf,fried rice,salad bar,buffalo wings,corn flakes,shrimp cocktail,rice pudding,fajitas,chicken casserole,cole slaw,egg roll,milk toast
1900,0.0,5.15373574372e-09,0.0,0.0,1.27481956103e-08,0.0,2.67712344543e-07,0.0,2.64518945636e-09,0.0,7.96150090299e-10,1.42367811762e-07
1901,0.0,6.35290849926e-08,0.0,0.0,1.21898223071e-08,0.0,2.83532302192e-07,0.0,2.11615156509e-09,3.9825316378e-09,6.36920072239e-10,1.43431359412e-07
1902,0.0,7.58878758907e-08,0.0,0.0,1.3353333328e-08,0.0,2.95532389542e-07,9.19688177466e-10,2.05392763908e-09,6.80439238288e-09,5.30766726866e-10,1.76167392822e-07
1903,0.0,6.50467507635e-08,0.0,0.0,1.29939064905e-08,0.0,3.0595201485e-07,7.88304152114e-10,2.0185414451e-09,7.12249649735e-09,4.54942908742e-10,1.811903702e-07
1904,0.0,9.37732025046e-08,0.0,0.0,1.82798277785e-08,0.0,3.18304176667e-07,7.88304152114e-10,2.0185414451e-09,7.37209928024e-09,0.0,1.78063504338e-07
1905,0.0,9.3570806944e-08,0.0,0.0,3.66029394413e-08,0.0,3.27500414089e-07,7.88304152114e-10,2.03657831869e-09,9.35200123691e-09,0.0,1.95699301161e-07
1906,0.0,9.41511216609e-08,0.0,0.0,4.35991974587e-08,0.0,3.36151803282e-07,7.88304152114e-10,1.78594580394e-09,1.27438112761e-08,4.52241355475e-10,2.10082152864e-07
1907,0.0,9.49083121458e-08,0.0,0.0,4.56094468383e-08,0.0,3.4067101508e-07,7.88304152114e-10,1.21528580849e-09,1.38103398241e-08,4.52241355475e-10,2.31758113462e-07
1908,0.0,5.33526754363e-08,0.0,0.0,5.51532301892e-08,0.0,3.63502790915e-07,7.88304152114e-10,2.31189741954e-09,1.33782198811e-08,4.52241355475e-10,2.40049368764e-07
1909,0.0,3.6175407035e-08,0.0,0.0,6.36265718049e-08,0.0,3.63789458621e-07,0.0,2.27055522003e-09,1.37126349006e-08,6.59871728687e-10,2.32610531043e-07
1910,0.0,5.31074501835e-08,0.0,0.0,1.00718171739e-07,6.5123246478e-10,3.97113602827e-07,0.0,3.74914302778e-09,1.24224747314e-08,5.00142132471e-09,2.4930951895e-07
1911,0.0,2.6893934159e-08,0.0,0.0,1.26035255248e-07,6.5123246478e-10,4.36696660928e-07,0.0,3.74914302778e-09,1.55983808727e-08,5.45815584793e-09,2.97490128674e-07
1912,0.0,2.66249338449e-08,0.0,0.0,1.38955186024e-07,6.5123246478e-10,4.52805620428e-07,0.0,3.25416753861e-09,2.01070346405e-08,5.45815584793e-09,3.00636132259e-07
1913,0.0,2.7122826794e-08,0.0,0.0,1.54940080099e-07,1.57600478699e-09,4.558493188e-07,0.0,4.17893986082e-09,1.99519276656e-08,5.00591449245e-09,3.04069064689e-07
1914,0.0,2.88703709828e-08,0.0,0.0,1.7788123452e-07,1.57600478699e-09,4.94962621492e-07,1.22765061609e-09,4.89713522115e-09,2.00497754907e-08,7.10179193231e-09,3.19951585924e-07
1915,0.0,3.0936638838e-08,0.0,0.0,1.98491458968e-07,1.57600478699e-09,5.17582872815e-07,1.22765061609e-09,3.80052361011e-09,2.08483832262e-08,7.10179193231e-09,3.48898344692e-07
1916,0.0,2.8957756986e-08,0.0,0.0,2.29319397614e-07,2.85771146429e-09,5.38794055593e-07,1.22765061609e-09,4.10557589513e-09,2.29094652772e-08,7.15050288821e-09,3.38292149103e-07
1917,0.0,1.39708982319e-08,0.0,0.0,2.26125187654e-07,2.42261060419e-09,5.20264435343e-07,1.22765061609e-09,3.44961407058e-09,5.6409864589e-08,3.24121650154e-09,3.30739365276e-07
1918,0.0,1.24645918825e-08,0.0,0.0,2.23451557955e-07,2.91625090743e-09,5.00017944129e-07,1.22765061609e-09,4.19007452544e-09,5.29843556648e-08,2.78448197832e-09,3.10792811566e-07
1919,0.0,1.21561611412e-08,0.0,0.0,2.16721241651e-07,4.36007063787e-09,4.80613666325e-07,1.22765061609e-09,4.80885440991e-09,4.79396196708e-08,2.99074193982e-09,2.97708250385e-07
1920,0.0,1.09709366036e-08,0.0,0.0,2.51066987866e-07,4.33081150307e-09,4.74924954094e-07,1.22765061609e-09,4.48109087931e-09,4.94789869394e-08,3.88625512723e-09,2.74153089214e-07
1921,0.0,8.95208891143e-09,0.0,0.0,2.54878430901e-07,5.0031653582e-09,4.53984782719e-07,0.0,5.56665137795e-09,5.33572644798e-08,2.46273154251e-09,2.53822533468e-07
1922,0.0,7.92150516611e-09,0.0,0.0,2.70807596696e-07,5.95965205757e-09,4.15102050511e-07,0.0,5.56665137795e-09,5.62038603277e-08,2.46273154251e-09,2.24181184664e-07
1923,0.0,8.97582284688e-09,3.13400067802e-10,0.0,3.04923835673e-07,5.61814558367e-09,3.87943407303e-07,0.0,5.36736878752e-09,6.1476294436e-08,2.51979028119e-09,2.14360971481e-07
1924,0.0,8.14197017743e-09,3.13400067802e-10,0.0,3.60607456467e-07,8.18034329164e-09,3.72465103458e-07,0.0,5.12020955793e-09,5.35365245469e-08,2.08752707184e-09,2.04753143646e-07
1925,0.0,8.59728729477e-09,5.94969724282e-10,0.0,3.71642889574e-07,1.10655388662e-08,3.69935163011e-07,0.0,5.50602772899e-09,6.56440199341e-08,2.6506663848e-09,2.05275986241e-07
1926,0.0,1.05221271378e-08,5.94969724282e-10,0.0,3.85750301384e-07,1.2835588814e-08,4.13429112151e-07,0.0,7.51677758133e-09,9.75075773774e-08,2.44440642331e-09,2.14932346714e-07
1927,0.0,1.16016682927e-08,8.7712034461e-10,0.0,3.68805485167e-07,1.25043768673e-08,4.07835736611e-07,0.0,7.48407003037e-09,1.07403338921e-07,1.54889323589e-09,2.16118473911e-07
1928,0.0,1.17978476195e-08,8.7712034461e-10,0.0,3.69837024624e-07,1.21332005395e-08,4.09520274834e-07,0.0,5.46700846498e-09,1.19226626571e-07,8.76539380761e-10,2.06804980505e-07
1929,0.0,1.28631772218e-08,8.7712034461e-10,0.0,3.53107315451e-07,1.41550169046e-08,4.02052006544e-07,0.0,6.79069867005e-09,1.207800964e-07,8.76539380761e-10,1.91678204198e-07
1930,0.0,1.16768960215e-08,9.44439415562e-10,0.0,2.97509931484e-07,1.62605696844e-08,4.23548243969e-07,0.0,7.23873687975e-09,1.23068945193e-07,9.43858451714e-10,1.83938250123e-07
1931,0.0,1.12400429282e-08,9.44439415562e-10,0.0,2.33022634458e-07,1.58429155826e-08,4.23528339384e-07,0.0,8.09143466515e-09,1.09311691825e-07,1.61833708339e-09,1.79165834962e-07
1932,0.0,1.18608745048e-08,6.62869759083e-10,0.0,2.38652749277e-07,1.6507016357e-08,4.19411687095e-07,0.0,6.96515603923e-09,1.11932037226e-07,1.34397895987e-09,1.71872908699e-07
1933,0.0,1.12673628523e-08,6.62869759083e-10,0.0,2.26823787847e-07,1.67808429692e-08,4.00922636423e-07,0.0,5.49819171144e-09,9.25754450876e-08,1.92526166438e-09,1.57753975629e-07
1934,0.0,1.44603840648e-08,3.80719138755e-10,0.0,2.43696594999e-07,1.89365813823e-08,4.08726036127e-07,0.0,5.20589444568e-09,9.88479195639e-08,3.82928945695e-09,1.56093837379e-07
1935,0.0,2.20785561896e-08,3.80719138755e-10,0.0,2.53981647269e-07,2.05654093437e-08,3.96944368296e-07,0.0,6.5844697948e-09,9.68705920241e-08,4.3807195966e-09,1.49798174278e-07
1936,0.0,3.30517752849e-08,3.33200261033e-09,0.0,2.92695161536e-07,2.34896731272e-08,4.09739106009e-07,0.0,6.33397353614e-09,1.39967787329e-07,5.72221203754e-09,1.77011721281e-07
1937,0.0,3.88381284593e-08,8.58208875394e-09,0.0,3.24690508353e-07,2.71472597418e-08,4.1819066064e-07,0.0,7.98573746812e-09,1.70460976001e-07,1.04360307697e-08,1.93830097813e-07
1938,0.0,4.19820361966e-08,9.12757253906e-09,0.0,3.64870365509e-07,3.21506155667e-08,4.36895954969e-07,0.0,9.29970164368e-09,2.23297428421e-07,1.27617130197e-08,1.96966803375e-07
1939,0.0,4.81040226065e-08,9.12757253906e-09,0.0,3.88964834405e-07,3.2885945903e-08,4.62280197106e-07,0.0,1.07050742239e-08,2.66752014382e-07,1.35972299452e-08,2.42130520205e-07
1940,0.0,5.67457800431e-08,9.12757253906e-09,0.0,4.20094580868e-07,3.42448655464e-08,4.48540084852e-07,0.0,1.26581904958e-08,2.74264815176e-07,1.44006946685e-08,2.53190452509e-07
1941,0.0,5.65398115945e-08,9.12757253906e-09,0.0,4.18768060514e-07,4.29758419962e-08,4.32766032058e-07,0.0,1.39129887294e-08,2.96070969646e-07,1.24966668759e-08,2.42517349948e-07
1942,0.0,5.93333552766e-08,9.47958543408e-09,0.0,4.11356633106e-07,4.52699911208e-08,4.49379911346e-07,0.0,1.35904520653e-08,3.05823257892e-07,1.30012754213e-08,2.50814765147e-07
1943,0.0,5.43235884213e-08,7.39363310258e-09,0.0,3.84268548093e-07,4.8020735737e-08,4.34667438075e-07,0.0,1.42479203991e-08,2.76459678642e-07,1.33904452605e-08,2.29936009851e-07
1944,0.0,6.70990590709e-08,5.99997578605e-09,0.0,3.7558131075e-07,4.97916918807e-08,4.14672955814e-07,0.0,1.60718659016e-08,2.85363277516e-07,8.29590738962e-09,2.191157255e-07
1945,0.0,6.8436330095e-08,5.45449200092e-09,2.34348064763e-10,3.58441338261e-07,4.898940669e-08,3.86449809708e-07,0.0,1.42434455024e-08,2.44392603298e-07,5.76444263751e-09,2.0930246076e-07
1946,0.0,6.5879134814e-08,6.10727430533e-09,2.34348064763e-10,3.47177033154e-07,5.42204681788e-08,3.57813934831e-07,0.0,1.84955196238e-08,2.06228834137e-07,6.16330326458e-09,1.51608413284e-07
1947,0.0,6.07462540904e-08,7.3679282675e-09,2.34348064763e-10,3.31459657879e-07,5.79883209387e-08,3.42368715219e-07,0.0,1.97921267946e-08,2.09978327678e-07,8.98073567893e-09,1.38286892033e-07
1948,0.0,6.09662184546e-08,7.3679282675e-09,2.34348064763e-10,3.11324613771e-07,6.32100561417e-08,3.34691959227e-07,0.0,2.11943216311e-08,1.83450003759e-07,1.23603473805e-08,1.31975475342e-07
1949,0.0,6.06802394363e-08,7.4691332484e-09,2.34348064763e-10,3.23282182675e-07,7.07695663658e-08,3.0829109424e-07,0.0,2.53502885826e-08,2.0027853712e-07,1.4476833827e-08,1.25588691732e-07
1950,0.0,5.83846934925e-08,6.83298173598e-09,2.34348064763e-10,3.07924153287e-07,6.78457458151e-08,2.95481797506e-07,0.0,3.02658354728e-08,2.08039514631e-07,1.41212493762e-08,1.16228338446e-07
1951,0.0,4.44656721919e-08,2.59583377016e-09,2.34348064763e-10,2.99877103276e-07,7.31315308945e-08,2.7774766842e-07,0.0,2.75575856579e-08,1.94139137909e-07,1.58685612587e-08,1.08206494685e-07
1952,0.0,4.55897953516e-08,3.00098089236e-09,0.0,2.88684289045e-07,7.40650066674e-08,2.78276262097e-07,0.0,3.02347429791e-08,1.98019989104e-07,1.70204536179e-08,1.03904920461e-07
1953,0.0,5.31755142617e-08,3.15182605412e-09,0.0,2.97103523942e-07,7.12883254491e-08,2.56054228867e-07,0.0,2.61845511781e-08,1.93872973834e-07,1.65018292047e-08,8.85244687713e-08
1954,0.0,5.4317740258e-08,2.45543244467e-09,0.0,2.97169119724e-07,7.18901090562e-08,2.38671800799e-07,0.0,2.57220848272e-08,1.93111177113e-07,1.54971248215e-08,8.49919355529e-08
1955,5.90283441174e-10,5.90475752579e-08,2.64244954489e-09,0.0,2.73071282094e-07,6.23240078117e-08,2.32306732707e-07,0.0,2.44762416525e-08,1.97647938016e-07,1.7353991926e-08,8.232491479e-08
