year,strawberry ice cream,vanilla ice cream,chocolate ice cream
1900,2.18853469791e-08,5.36421216335e-08,1.85698402211e-08
1901,2.24081792677e-08,5.23635074856e-08,1.83558018119e-08
1902,2.48047369311e-08,5.62053278919e-08,2.1427755977e-08
1903,2.58851476761e-08,6.20478295569e-08,2.13586120853e-08
1904,3.33780990149e-08,7.26522945138e-08,2.23156497725e-08
1905,3.43361231352e-08,8.62041232841e-08,2.19224961993e-08
1906,3.98562282701e-08,9.11194806433e-08,2.47933028393e-08
1907,4.1967254608e-08,9.08651139569e-08,2.67085037896e-08
1908,4.40215866458e-08,1.07952289822e-07,3.41599395437e-08
1909,4.53390405695e-08,1.17992712965e-07,3.67919561801e-08
1910,5.10165948058e-08,1.33422920426e-07,4.54750240638e-08
1911,5.31651340571e-08,1.57040582538e-07,5.41622317789e-08
1912,7.63065688097e-08,2.17259353936e-07,8.32077426643e-08
1913,7.74519126295e-08,2.33459253612e-07,8.69821439003e-08
1914,7.90321095234e-08,2.46377032649e-07,9.1364339015e-08
1915,7.71424907128e-08,2.47064911609e-07,9.4380152138e-08
1916,8.21816559566e-08,2.65677722393e-07,9.72946164904e-08
1917,8.53195200997e-08,2.78743842135e-07,1.00425662135e-07
1918,8.07260573467e-08,2.70574625245e-07,1.03937985234e-07
1919,6.31440606628e-08,2.13947536322e-07,8.56703621377e-08
1920,6.03422434401e-08,1.95215800985e-07,8.48264827269e-08
1921,5.8616405872e-08,1.88568670646e-07,8.11644772027e-08
1922,6.03311673477e-08,1.76483624032e-07,7.59301724036e-08
1923,5.63151754594e-08,1.47955491953e-07,7.30545788308e-08
1924,5.75028455962e-08,1.29283124428e-07,7.11202902919e-08
1925,6.16426334421e-08,1.19164286914e-07,6.90463341105e-08
1926,6.38867938552e-08,1.21950134721e-07,6.37564290568e-08
1927,6.97915384532e-08,1.46461622893e-07,7.19147701072e-08
1928,7.3243179458e-08,1.55249246665e-07,7.60749283568e-08
1929,7.83102509822e-08,1.61613031465e-07,8.08778060714e-08
1930,8.03365201664e-08,2.0203314358e-07,1.13044295956e-07
1931,8.91363591509e-08,1.92535453802e-07,1.12950800459e-07
1932,8.90991931029e-08,1.98510062229e-07,1.21192305302e-07
1933,9.05476772926e-08,1.965145093e-07,1.24200529829e-07
1934,8.49702276159e-08,1.86871764697e-07,1.21044293065e-07
1935,9.54486775015e-08,2.0623715234e-07,1.42836501579e-07
1936,1.01382749212e-07,2.26972747042e-07,1.42727352064e-07
1937,1.05034009712e-07,2.21405316335e-07,1.24098173991e-07
1938,9.36651775188e-08,2.52281314252e-07,1.38594018135e-07
1939,1.03746527115e-07,2.65510050073e-07,1.45424895332e-07
1940,9.96922146739e-08,2.60721604814e-07,1.50571614986e-07
1941,1.02634550002e-07,2.74047641849e-07,1.5829520247e-07
1942,9.56630243275e-08,2.75144575187e-07,1.47047952925e-07
1943,9.59837531678e-08,2.8844208888e-07,1.61950692539e-07
1944,1.05280456956e-07,3.10663922904e-07,1.84315351362e-07
1945,1.09982962293e-07,3.13160188448e-07,1.82921466926e-07
1946,1.03749638087e-07,3.0558083784e-07,1.7409453352e-07
1947,1.10265955351e-07,3.46876127441e-07,1.82288990315e-07
1948,1.16905529162e-07,3.55972195466e-07,1.98372289452e-07
1949,1.11675629379e-07,3.69663388915e-07,1.97308770465e-07
1950,1.07280935881e-07,3.48920260304e-07,1.9314474147e-07
1951,1.04936117192e-07,3.13123928691e-07,1.74598275139e-07
1952,9.49916920837e-08,3.00912185328e-07,1.60220224627e-07
1953,8.6711229641e-08,2.84579145963e-07,1.56849970393e-07
1954,8.35009039214e-08,2.61383640129e-07,1.45533031832e-07
1955,7.45021012343e-08,2.39412523203e-07,1.27435099346e-07
1956,7.30858036789e-08,2.13251726373e-07,1.20418703945e-07
1957,6.99456899701e-08,2.07839061993e-07,1.11985196766e-07
1958,6.30146046771e-08,2.32573913239e-07,1.08063976719e-07
1959,6.08935963082e-08,2.16271918818e-07,1.06918638308e-07
1960,6.30595446812e-08,2.27111998573e-07,1.05231694263e-07
1961,5.47604070581e-08,2.15223066194e-07,1.06116619e-07
1962,5.86165656886e-08,2.2258073248e-07,1.01275824727e-07
1963,6.32138818037e-08,2.29081578595e-07,1.08873261533e-07
1964,6.22546197847e-08,2.28810978101e-07,1.06031364926e-07
1965,5.8899001208e-08,1.98820683028e-07,9.63463917853e-08
1966,5.92817029355e-08,2.00758859314e-07,9.9465263359e-08
1967,5.81025354099e-08,2.0371758864e-07,1.02582331677e-07
1968,5.80437027331e-08,2.05587711648e-07,9.87419059216e-08
1969,5.62836436822e-08,2.06321619821e-07,9.86119413745e-08
1970,5.38121873728e-08,2.04920793667e-07,9.89133970286e-08
1971,5.54801295381e-08,2.1166270936e-07,1.01030057431e-07
1972,5.47114588872e-08,2.36773561043e-07,1.09858269307e-07
1973,6.23646245915e-08,2.75683441504e-07,1.18489039564e-07
1974,6.79595284333e-08,2.94077109489e-07,1.20170697552e-07
1975,7.68860617078e-08,3.21289672327e-07,1.31885767957e-07
1976,8.15978544098e-08,3.47625819812e-07,1.40393402332e-07
1977,8.60747254742e-08,3.71370489789e-07,1.45307817239e-07
1978,9.12619604015e-08,4.01895108082e-07,1.55924167926e-07
1979,9.75566772762e-08,4.35797706779e-07,1.64504661575e-07
