year,grape juice,apple juice,lemonade,vegetable juice,grapefruit juice,cranberry juice,orange juice
1800,0.0,1.70315495041e-08,1.26446676063e-06,1.19220842976e-07,0.0,0.0,3.74349031773e-08
1801,0.0,1.36252396032e-08,1.12260911891e-06,1.27153407448e-07,0.0,0.0,4.05401664239e-08
1802,0.0,1.1354366336e-08,1.07692233442e-06,1.62020365716e-07,0.0,0.0,3.37834720199e-08
1803,8.82522905548e-09,1.85575430578e-08,1.06229543917e-06,1.65350286352e-07,0.0,0.0,3.77824907868e-08
1804,8.82522905548e-09,1.85575430578e-08,1.01816106885e-06,1.72306612407e-07,0.0,0.0,3.77824907868e-08
1805,8.82522905548e-09,3.58323412846e-08,1.02274449582e-06,1.8094401152e-07,0.0,0.0,3.77824907868e-08
1806,4.43756376407e-08,4.17574094667e-08,1.00592508596e-06,1.86869079702e-07,0.0,0.0,2.61234315449e-08
1807,4.43756376407e-08,4.02939873214e-08,7.02347552561e-07,1.22877329645e-07,0.0,0.0,1.63911175426e-08
1808,4.43756376407e-08,4.02939873214e-08,6.49965226529e-07,1.00179663168e-07,0.0,0.0,8.82522905548e-09
1809,4.43756376407e-08,4.02939873214e-08,5.68139409296e-07,7.08516442976e-08,0.0,0.0,8.82522905548e-09
1810,3.55504085852e-08,3.14687582659e-08,5.00213776178e-07,4.43759571311e-08,0.0,0.0,0.0
1811,3.55504085852e-08,3.14687582659e-08,6.23345729573e-07,5.1296170359e-08,0.0,0.0,2.7753079073e-08
1812,8.92001571019e-08,6.01794576076e-08,6.61128949174e-07,5.03230211787e-08,0.0,0.0,5.07458278573e-08
1813,5.36497485168e-08,5.42543894255e-08,7.30866944362e-07,4.43979529966e-08,0.0,0.0,5.07458278573e-08
1814,5.36497485168e-08,4.59854975686e-08,8.13722517685e-07,8.95202662475e-08,0.0,0.0,9.45296128358e-08
1815,5.78265196996e-08,5.85158111172e-08,9.75987107767e-07,1.06227350979e-07,0.0,0.0,1.1541346875e-07
1816,5.78265196996e-08,5.85158111172e-08,1.05553063331e-06,9.20382886095e-08,0.0,0.0,1.1541346875e-07
1817,7.09369832716e-08,5.85158111172e-08,1.06680293907e-06,1.51035374683e-07,0.0,0.0,1.1541346875e-07
1818,1.31898702754e-07,6.66440403815e-08,9.67977574159e-07,2.06248787192e-07,0.0,4.06411463213e-09,1.03916848206e-07
1819,7.82489542368e-08,3.32489916234e-08,8.76005922785e-07,2.17470210221e-07,0.0,4.06411463213e-09,8.09240994215e-08
1820,8.42551384851e-08,3.92551758718e-08,8.86633374973e-07,2.4750113197e-07,0.0,4.06411463213e-09,8.39271915457e-08
1821,8.6781550073e-08,5.44136448915e-08,7.85585287742e-07,2.10876430984e-07,0.0,4.06411463213e-09,5.27754647603e-08
1822,9.06850338315e-08,1.01138534753e-07,7.29564357625e-07,2.10329856135e-07,0.0,4.06411463213e-09,3.72784454734e-08
1823,1.03103336408e-07,1.1045226194e-07,8.94899173431e-07,2.12005351941e-07,0.0,4.06411463213e-09,5.28013234405e-08
1824,9.52564774995e-08,1.13084064271e-07,9.39656439008e-07,1.55640068199e-07,0.0,4.06411463213e-09,6.85921369227e-08
1825,3.96941981506e-08,1.13054994953e-07,9.16279979383e-07,9.19495565402e-08,0.0,0.0,5.50353984607e-08
1826,4.71431313035e-08,1.07913479295e-07,1.03859248668e-06,8.60995168495e-08,0.0,0.0,6.4346564648e-08
1827,4.87693930954e-08,1.05723518067e-07,1.06756151018e-06,7.32415989445e-08,0.0,0.0,6.5159695544e-08
1828,5.04784445354e-08,1.07506901159e-07,1.1774042244e-06,8.1786856906e-08,0.0,0.0,5.67631003788e-08
1829,5.80840782456e-08,5.08660126083e-08,1.15820306197e-06,7.34692913491e-08,0.0,0.0,6.96764685314e-08
1830,5.43448927764e-08,4.29988048976e-08,1.02885040982e-06,7.73857760095e-08,0.0,0.0,6.13861878155e-08
1831,4.90812881131e-08,4.20624408954e-08,1.03480823758e-06,7.81448503367e-08,0.0,0.0,5.23771276509e-08
1832,4.49591570322e-08,3.39632809495e-08,1.13398671012e-06,8.2963882621e-08,0.0,1.27730905218e-09,5.47866436662e-08
1833,4.19215452193e-08,3.20284994716e-08,1.16185331235e-06,7.87508920297e-08,0.0,1.27730905218e-09,4.76811381489e-08
1834,3.58081783907e-08,2.82122764515e-08,1.17750395885e-06,6.3096967397e-08,0.0,1.27730905218e-09,5.14603114407e-08
1835,3.9755496038e-08,1.12704243398e-08,1.30005780148e-06,5.66486570668e-08,0.0,2.91386521261e-09,5.5407629088e-08
1836,3.52795325652e-08,1.48838460287e-08,1.32491648408e-06,5.37879018785e-08,0.0,2.91386521261e-09,4.83173502478e-08
1837,6.58545653565e-08,1.97686409464e-08,1.38934241572e-06,7.27863123424e-08,0.0,5.44639102072e-09,4.74160673899e-08
1838,7.193008538e-08,1.8073202617e-08,1.4400425237e-06,8.15464757307e-08,0.0,6.66149497468e-09,4.06343140723e-08
1839,9.61311959559e-08,2.20961110996e-08,1.49090573182e-06,8.87606069914e-08,0.0,5.3841859225e-09,3.68660474846e-08
1840,1.35825688474e-07,1.65819594246e-08,1.56409595992e-06,1.08954946145e-07,0.0,6.54486522121e-09,4.51065008836e-08
1841,1.42281796503e-07,1.95726546082e-08,1.52660909146e-06,1.17404851555e-07,0.0,9.53556040478e-09,4.64831906299e-08
1842,1.45579633428e-07,2.04557790389e-08,1.42078798872e-06,1.15039587761e-07,0.0,8.78212867507e-09,4.80147786927e-08
